,artist_name,track_name,release_date,genre,lyrics,len
17925,jeff williams,this will be the day (feat. casey lee williams),2013,pop,small helpless child surprise warrior soon wild prepare greatest moments prepare finest hour dream dream suddenly lightning stray thunder miracles ancient wonder wait open door wanna hear absolution ready revolution welcome world solutions welcome world bloody evolution time heart open mind story tell victory simple soul world need great defender world harm want romantic life fairytale charm beware light fade beware dark return world unforgiving brilliant light cease burn legends scatter night sever peace lose forever wait lightning welcome world solutions wait open door wanna hear absolution ready revolution welcome world solutions welcome world bloody evolution time heart open mind story tell victory simple soul,105
17928,a$ap rocky,r,2013,pop,niggas pistolpoppin like maybe mind press rewind time rappers droppin dim trap choppin pies clichés rhyme gucci prada designer money power enchilada commas dollas green guava serve flocka disrespect blocka blocka choppas eavesdroppers fuck choppas grindin like biggie poppa yeah outer hotter jackin pistolpackin mothafuckin choppers clappin metal jacket automatic magazines headon traffic fenders smashin windows crashin pant saggin fuck fashion yeah nigga manhattan cali happen gucci escada designer groupies poppers gonna swallow probably robbers goons goblins hatin medulla oblongata york world go cali yeah yeah go cali york scream fuck world go cali yeah yeah go cali nigga brackin boolin know sayin know mean yeah see camino know mean bein careful lookin enemies know fuck killin killin movin shit shootin niggas sight know yeah catch slippin nigga cop fuck blood niggas slippin happen solo maserati like atari key push start bugatti bugattis testarossa blue ferrari lamborghini bumpin worry rastafari hardest supersonic systematic retard versace apartment bigger closet newer carpet departments cooler garment goal accomplish shootin target target movin target accomplice kill game regardless beat charge honor,177
17934,jess glynne,don't be so hard on yourself,2013,pop,come break heart smile face paper wound heal tear crack hard simplicity feel like miss suppose felt darkness eventually know belong right wrong tell hard learn forgive learn trip fall hard cause tire march kind frail feel bone heart heart turn stone hard standin world right wanna dark cloud rain hearts break hell place know hard simplicity feel like miss suppose felt darkness eventually know belong right wrong tell hard learn forgive learn trip fall hard cause tire march kind frail feel bone heart heart turn stone hard learn wave goodbye life eye easy road hard hard learn forgive learn trip fall hard cause tire march kind frail feel bone heart heart turn stone hard cause tire march kind frail feel bone heart heart turn stone hard,127
17937,panic! at the disco,the end of all things,2013,pop,near change time young lyric commercial,6
17938,one direction,right now,2013,pop,light night call yeah hear voice sing songs street know go home long long know yeah feel right wish cause right know fight feel night feel right wish late night space friends yeah face like go home long long know feel like right wish cause right know fight feel night feel right wish forever crazy light hear call yeah right wish right cause right know fight feel know night feel right wish right,73
17939,cassadee pope,wasting all these tears,2013,pop,try bottle lay bathroom floor loneliness rattle windows say want anymore leave stand corner cry feel like fool try remember waste tear wish erase memory cause damn finally waste tear tear sleepless night gotta mind cause want couldn forget leave stand corner cry feel like fool try remember waste tear wish erase memory cause damn finally waste tear tear leave stand corner cry feel like fool try remember waste tear wish erase memory cause damn finally waste tear tear try bottle lay bathroom floor,84
17944,escape the fate,one for the money,2013,pop,ready ready ready ready everybody world late city time time hold fuck time time time sing everybody cause money cause ready ready motherfuckers ready cause money cause ready ready motherfuckers ready ready ready ready ready start start riot leave burn hear silence hate escape gonna change stand fuck blow cause money cause ready ready motherfuckers ready cause money cause ready ready motherfuckers ready ready ready ready ready ready ready ready ready cause money cause ready ready motherfuckers ready cause money cause ready ready motherfuckers ready ready ready ready ready ready ready ready ready ready ready,95
17945,atlas genius,trojans,2013,pop,thoughts look hesitate picture recreate write song note lump sit inside throat change lock change scene change change trojan head trojan head trojan head go lyric commercial,27
17949,one direction,diana,2013,pop,page picture look small miss mistreat criminal speak different language hear light inside eye lonely know feel cry lift heart save life think realize baby save months fall mislead wanna reach wanna break wall speak different language hear light inside eye lonely know feel cry lift heart save life think realize baby save need hold swear light inside eye lonely know feel cry lift heart save life think realize baby save baby save baby save,75
17951,a$ap rocky,phoenix,2013,pop,bloody spell suicide pass cause scrutinize fuck illuminati lie lucified baptize gutter motherfucker decide cause ride come doors suicide thighs whore supersized good have war nigga choose hail lord like lord flacko paint vivid picture basquiat picasso capo head hancho follow colossal boxer pacquiao chopper todo caso like hear speak see ghetto gospel choir like reefer preacher eye sister sleep sing high note bible rifle goodnight folks bloody spell suicide cobain die cause scrutinize fine line truth lie lie crucify judge nigga life bitch bitch niggas sheet cover nigga dirty kitchen supper cupboards nigga sucker niggas wassup niggas attitude like fuck niggas grow niggas fuck niggas trust niggas niggas gold grill shin like southern niggas keep trilla world fuckin treat like niggas world palm cover niggas shall fall lord pick baby deuce sippy cup diapers zipmeups walk wish luck tell stand plan tell stand plan,145
17952,a$ap rocky,lvl,2013,pop,clam casino nigga pistol popper flacko lock load life bitch pussy know cause open pussy soak fuck promote yeah claim rage hat like live oakland niggas roof introduce niggas swag nigga blow fast fuck sposed fuck sposed cash thousand dollar drawers hold ball jewel go juice popcorn juice snack movie nigga cast news flash truth boom mix rap look niggas blow past hood dorag nigga jack pistol popper scream fuck copper buy crispy choppa finna fuck block blocka crack pavement niggas hat impatiently wait niggas satan talk illuminati clue bitch trillmaluminati crew shooters round looters round tool fool round couple dudes surround strap backpack leave flat better fast track ratatat nigga nigga pass finna hash stack finna smash catch pass niggas cash dead people need dead people lord pretty flacko bitch behead people kneel kiss ring hail long live alright mothafucka alright need need need need need,147
17954,kevin gates,satellites (feat. wiz khalifa),2013,pop,satellite satellite gonna right emotions probably tell stay tonight friends crazy good advice satellite satellite say shoot heart luca brasi sellin kilos gotta shop outta spot specific nigga feelin wrong showin women surroundin straight time lounge hoe grind time road strictly need cnotes lingo life gamble mean casino everybody playin think ladies pretend hopin wastin time hustle night promise thing alright nigga move come control like like yeah right fuck real good satelites know smoke need joint roll go hard go star club go go large scream young khalifa play satellite satellite gonna right emotions probably tell stay tonight friends crazy good advice satellite satellite,105
17959,tyga,molly,2013,pop,look search fuck fell band dollars poppin fall options high school college gold chain notre dame green yeah party like fuck fuck police inch kobes black jodeci gimme pussy break niggas stop beggin cause shit need swervin drivin time tire super turnt killin mind fuckin body bitch wanna flick pose posse shit worry gossip fuck fell bitch section important import bank account enormous weed loud distort champagne pourin poppin snortin iphone recordin want afford bitch young khalifa fillin lungs reefer cloud gotta press gotta whip fast catch ticket speedin bitch cheatin pull shit see say believe gettin gnarly pull party bring pound fuck fell drink drink drink know drink drink drink know smokin smokin smokin reefer smokin smokin smokin reefer fuck fell,122
17960,miley cyrus,someone else,2013,pop,look know live anymore leave heart walk door try pity need look cause surely help hurt turn believe conquer cause see movies come like real life different wanna wanna smile hurt think felt like awhile stand cry lie pretend feel alive hold close tell look know live anymore leave heart walk door try pity need look cause surely help hurt turn turn believe conquer cause felt hold think catch fall wanna wanna smile hurt think felt like awhile stand cry lie pretend feel alive hold close tell look know live anymore leave heart walk door try pity need look cause surely help hurt turn patient selfless hopeful kind jealous selfish hopeless blind patient selfless hopeful kind jealous selfish hopeless blind patient selfless hopeful kind jealous selfish hopeless blind yeah yeah yeah turn,132
17964,foxygen,san francisco,2013,pop,meet bridge think stand fell rail years older brother soldier move wind swim tide tune radio station leave okay bore leave room okay bear leave lyric commercial,27
17970,nipsey hussle,checc me out (feat. cobby supreme & dom kennedy),2013,pop,yeah nipsey hussle checc trouble checc checc double checc nipsey hussle checc nipsey hussle checc nipsey hussle checc nigga fuck checc nigga fuck come shootouts public ridin bus buyin benzes buy bucket knock grind wasn life ugly money catch glimpse think want money think funny aall bitch engines break niggas slow richer shit like sound like look checc checc pant checc draw checc ball checc slauson mall checc fuck checc checc nigga bitch money engines supreme break niggas slow feet richer balenciagas gucci problems money timers persona nigga llama want problems thang kitchen pyrex vision roll riches stay flippin bitch stay away snitch stitch fuck circle square niggas smoke purple kush benzes nigga come niggas relentless play game send nigga dentist business money business bitch bitch engines break niggas slow richer checc money checc beamer checc benz checc checc fuck twin checc fuck friends checc come checc come checc come checc tell checc come checc come checc come checc checc money checc nigga shit operate fast today want game play,170
17972,rhye,open,2013,pop,fool shake thighs fool sound sigh fool belly fool want play know fade stay close hand want play know fade stay close hand catch pool hold eye catch like fool line natural spring gentle want play know fade stay close hand wanna play know fade stay close hand stay open stay open stay open stay open baby want play know fade stay close hand want play know fade stay close hand stay open stay open stay open stay open,79
17974,our last night,sunrise,2013,pop,despair inside darkness self conscious scar hold prisoner run bury sadness want paralyze world sound cry family love die echo vacant room young soul reside night cold feel like know like bury hole sunrise sunrise search escape madness dire need change fight better days hurt pain deep like razor blade hold abandon afraid night cold feel like know like bury hole sunrise sunrise grave difference grave difference difference night cold feel like know like bury hole sunrise sunrise grave difference difference difference time time arise human be people exude naturally give heat,92
17977,bahamas,don't you want me,2013,pop,work waitress cocktail pick hold turn turn years later world feet success easy forget want know believe need want know believe think change mind better change sorry want baby want want baby want work waitress cocktail true know better place years good time think time live life guess want know believe want know believe need change mind better change sorry want baby want want baby want want baby want want baby want,72
17980,set it off,kill the lights,2013,pop,reside grand disguise away falsify life hide away truth pursue kill light kill actor kill actress afraid spotlight dry whoa whoa shut mouth sick lie lie spill slip fall watch drown lie lie spill tonguetied believe false pride exist cut tie clean breathe stand enthral bland curtain truth pursue kill light kill actor kill actress afraid spotlight dry whoa whoa think think beg kill light kill actor kill actress kill stop peer inside lose think sick go right sail night death stand try place kill light kill actor kill actress afraid spotlight dry whoa whoa think think beg kill light kill actor kill actress kill kill kill,107
17982,tryhardninja,take back the night,2013,pop,closet secrets skeletons awake true castle box right darkness leave easier away today today cast shadow sight final stand shout wrong turn right fight past night torch tonight bring ghost light time night night bridge burn break different side start anew chase monsters face headon consume reach grasp lose payback leave long unpaid today today cast shadow sight final stand shout wrong turn right fight past night torch tonight bring ghost light time night whoa ohohoh whoa ohohoh night whoa ohohoh whoa whoa whoa whoa torch tonight bring ghost light time night night whoa ohohoh whoa ohohoh night whoa ohohoh whoa whoa whoa whoa night whoa ohohoh whoa whoa whoa whoa night whoa ohohoh whoa whoa whoa whoa night whoa ohohoh,121
17984,chastity belt,seattle party,2013,pop,tattoo deep think life rough have party tonight invite best friends good time think like have think have think have dance dance girl cool look have party tonight invite best friends good time think like have think have have have have,41
17985,justin timberlake,tko,2013,pop,enthrilling live sound kill kill kill kill kill kill kill kill kill kill light baby train gold body crazy difficult girl eye inside evil cause fair think bout shit know get cut right yeah hurt think fair fight knock fight knock suppose understand tell swing whistle blow try belt chest perfect dome dammit babe girl know anymore count yeah girl knock count yeah girl knock ttko count yeah girl knock count yeah girl knock baby know fight rematch amaze win somebody heart swole cause like inside lethal fair think bout shit know lose cut right yeah hurt think fair fight knock fight knock suppose understand tell swing whistle blow try belt chest perfect dome dammit babe girl know anymore count yeah girl knock count yeah girl knock ttko count yeah girl knock count yeah girl knock girl girl knock right girl girl girl knock right girl girl girl girl knock right girl girl girl girl knock right understand tell swing whistle blow try belt chest perfect dome dammit babe girl know anymore kill kill dammit babe count yeah girl knock count yeah girl knock ttko count yeah girl knock count yeah girl knock,193
17987,kyle,sex & super smash bros.,2013,pop,girly whatcha waist famish goody long peck peck neck baby implantations amaze aren famous know whip rent know clothe expensive know girlfriend cuban know know spanish habla ingles want penis remix hold clothe game pillow nintendo matter play come girl play game super smash super smash bros super smash super smash bros super smash bros super smash bros tell nice come place spend night night light want pipe alright tell nice come place spend night night light want pipe alright want stay close yeah know take photos minus clothe know little dough boat mimosas flow coaster girls posters try post tell good come wanna learn work controller right hold clothe game pillow nintendo matter play come girl play game super smash super smash bros super smash super smash bros super smash bros super smash bros come come yahoo come come come woohoo hold clothe game pillow nintendo matter play come girl play game super smash super smash bros super smash super smash bros super smash bros super smash bros,169
17991,the weeknd,love in the sky,2013,pop,inside free relax commit ride turn remember sheet world learn dream dream learn dream dream need hide overreact say girl remember sheet world learn dream dream learn dream dream teach dream oooh feel feel like world get small feel free get grow get fly world kill show get high cause confidence rush time fuck slow know sure time sure leave pussy control pussy control control control control control,68
17992,johnnyswim,don't let it get you down,2013,pop,come cross seven seas hold course come cavalry dream dream say mind momma say girl blind see wanna december come spring follow pray come,24
17993,jon bellion,jim morrison,2013,pop,young problem yeah kick doors morrison young problem kick doors morrison morrison road blueprint play vinyl hippy princess bear ohio chat label presidents goals damn straight teachers say kanye give college feel brooklyn yeah feel roll pull kick knowledge father get money hereditary bitch feel legendary young problem yeah kick doors morrison young problem kick doors morrison morrison brew zarou season mother cry right reason cute english reporter tell steamin reply bless eat teachers say kanye give college feel brooklyn yeah feel roll pull kick knowledge father get money hereditary bitch feel legendary young problem yeah kick doors morrison young problem kick doors morrison morrison,105
17996,kanye west,send it up,2013,pop,relivin past loss rockstar bitch selfish success jealous killin drillin tattoo break news real news night bitch come twos suck like come lose drop school cause niggas cocaine goin hard prove killin pain improve send bitch send bitch send bitch send bitch send bitch send bitch send bitch send bitch crayist shit club club pack ride bodyguard like club friends club benz club treat friends like benz outside evenin like leave like work gotta work clothe heart colder souls louboutin toe tight dress dancin close yeezus send bitch send bitch send bitch send bitch memories live like people member things good memories memories live like people member things good memories,110
17997,childish gambino,iii. urn,2013,pop,watch pass moon star hold arm forevermore cold nights stand leave hold modest mind go wake night tell afraid afraid cause know,22
18000,a day to remember,i'm already gone,2013,pop,look round makeshift move house search leave grind read lose lose say say know go somethin know know makin round know reason come home work bring things impatient type life need say say know go somethin know know makin round know reason come home set push harder clear thing regret live life yesterday set push harder clear thing regret live life yesterday life yesterday go somethin know know makin round know reason come home,74
18002,nipsey hussle,they roll (feat. the game),2013,pop,slauson slauson slauson compton house compton house blue converse nigga dirt bangin turf like snoop color crip blue bandanas blue dickies deuce fifth slauson truce homicide city turn young niggas ruthless loose lips snitch nigga shoe slip pistol introduce pussy nigga pulpit blue gold neck catch cause neighborhood bust head peel cap cook coke sell crack county jail enemies momma know clap granny know clap shoot fuck duck bust deuce deuces cadillac california state mind kurupt drop battle niggas crippin niggas time crazy niggas bloodin niggas time crazy get crackin like keep crackin like gangstas roll gangstas roll converse nigga woopin dirt nigga bangin turf like snoop mothafuckin dippin block bang black superman game wasn keita blood straight cedar block paint wall leave block stop stop gotta heater cock fiends like leave palm tree crips blood hundreds strip club game wooped nipsey cripped walk walk stompin chuck pant nigga fuck bigger rim bigger truck california state mind drop niggas crippin niggas time crazy niggas bloodin niggas cause time crazy get crackin like keep crackin like gangstas live gangstas roll,179
18003,the paper kites,featherstone,2013,pop,sound fleet heart sound fleet heart leave work chest heart go haze morning go lose tall hedge maze leave place heart face know line hate lose feel fine coastline past sign slow decline live like wasn mean go go different life lonely sound fleet heart sound fleet heart leave work chest heart know line hate lose feel fine coastline,59
18004,one direction,through the dark,2013,pop,tell lose tell tear stay know hide wanna tell hurt pain head hold shame wanna smile smile burn scream shout come water hold closer heart strong night come dark wish star fall break heart wanna fall apart hold tell hurt vain heart remember laugh laugh burn scream shout come water hold closer heart strong night come dark need need worry easy love know wanna love water water hold closer heart strong night come dark water hold closer heart strong night come dark,82
18007,nipsey hussle,face the world,2013,pop,dream summer go breeze stop blow leave yeah yeah life play thing safe triple bunk state prison blue lace blue chuck give fuck chuck hood ask nigga hood like wouldn nigga walk track nigga shoot strap nigga buy sack nineteen touchin bird alpinas swerve grey leather white shit smellin like purse bitch shit money risin like bisquick word help rapper crip shit pray bless young nigga learn hard lessons drug dealer triple life gang enhancement judge triple white hate blackness slam gavel racist passion waitin appeal passin offer fight late catch life look face world look tear suppose lears like year wonder niggas white hairs stressin like change lonely game homies pain slang mean brother mean trust mean raise wrong stay strong keep real fake show flake niggas story gettin cake holmes life dice shaker electric light skyscraper down real nigga lame life hater black benz signal betrayal friends long flight mind right victory spend time right victory grind right victory moms right niggas shit twist like jeanmichel basquiat destroy picture selfinflicted homicide pull trigger feel like tell contribute regardless regardless feel like tell contribute contribute,186
18011,ajr,pitchfork kids,2013,pop,know couldn hold bone settle gotta gotta hipster friends rough rowdiest live spend time run life sky open sing know come pitchfork kid loneliest life live run pitchfork kid moon gain cross stay couldn break heart cause blood pump vein rough rowdiest live spend time run life sky open sing know come pitchfork kid loneliest life live run pitchfork kid spend time run life loneliest life live run pitchfork kid sky open sing know come pitchfork kid loneliest life live run pitchfork kid,83
18012,glee cast,if i die young (glee cast version),2013,pop,high hear prayer need young afraid rest heaven bless bring home bring home bring home like know grant summer soon go bring peace bring young live live bring home bring home bring home,33
18014,falling in reverse,game over,2013,pop,life like video game try hard beat stage collect coin try hard save girl obstacles jump hurdle grow battle evil ways travel save sorry princess rest push pause level hop stage clear fuck pass asshole try die game play heaven sakes look better play life keep score forevermore stop complain start change today go therapy tell embarrass issue have life tell need change life video game stop play open eye try die game play heaven sakes look better play life keep score forevermore stop complain start change talk doubt brain cloud crazy life amaze problems face know okay life like video game try hard beat stage collect coin leave right leave right select start game play heaven sakes look better play life keep score forevermore stop complain start change game play heaven sakes look better play life keep score forevermore stop complain start change,144
18015,jon bellion,life,2013,pop,confuse kind drink sort high break miss america learn cause answer stick close doors night light club shine light club shine light club shine write bathroom wall favorite shade lipstick life write bathroom wall favorite shade lipstick life life tryna figure life life tryna figure dream bout light have trouble get convince kanye know america learn cause answer stick light light night light studio shine light studio shine yeah light studio shine write bathroom wall favorite shade lipstick life write bathroom wall favorite shade lipstick life life tryna figure life life tryna figure life tryna figure life life tryna figure write bathroom wall favorite shade lipstick life write bathroom wall favorite shade lipstick life life tryna figure life life tryna figure,121
18016,selena gomez,come & get it,2013,pop,ready come nananana nananana nananana ready come nananana nananana nananana ready ready ready come nananana nananana nananana gotta worry open invitation sit right real patient night wait standby stop hate night maybe addict life regret hide finish finish baby ready ready come nananana nananana nananana ready come nananana nananana nananana ready ready ready come nananana nananana nananana kind want yeah baby takebacks life leave knock stop forever baby addict regret baby ready ready come nananana nananana nananana ready come nananana nananana nananana ready ready ready come nananana nananana nananana death know happily know know know yeah ready come nananana nananana nananana ready come nananana nananana nananana gonna yeah yeah ready ready ready come ready ready come nananana nananana nananana,119
18027,craig campbell,when she grows up,2013,pop,young dream famous years leave dream funny things life change like little hand want mountains wanna change world matter happen little girl last forever daddy hug see wanna grow forever eye superman cause kiss skin knee better smile say hero want mountains wanna change world matter happen little girl last forever daddy hug see wanna grow want mountains wanna change world matter happen little girl last forever daddy hug see wanna see wanna grow grow,75
18030,the 1975,settle down,2013,pop,soft sound wear hair cover face have effect fall place lose word speak body avoid talk lose turn guess learn cause stay hour cry loud settle know house hand mouth stop small dictate people familiar face mean fixate girl soft sound hair place sure learn push body avoid walk cold burn guess learn cause stay hour cry loud settle know house hand mouth stop soft sound wear hair cover face have effect fall place lose word speak body avoid talk lose turn guess learn cause stay hour cry loud settle know house hand mouth stop cry loud,97
18031,mac miller,someone like you,2013,pop,like like like like like like like like like like like like like like like like like like like like like like like like like like like yeah light pain go hear song radio come fuck base shit ready ready terrify hand steady verify camera ready weight earthquakes deep sleep dive cold lake fuck bitch toe shake tell soulmate disguise emotion face bullshit thank deal fuck hear suppose race hear sound lose spend days solitude dumb interview awful mood think logical get high jump moon look soul die right hospital peace possible mind close come money leave hoe life fast baby slow open mind start forget know shit leave hurt good girl love hurt good fentanyl numb beautiful ugly turn junkie search know dream fuck little nasty like wiggle cheek sweet shit week fore cash stand walk pass dream match gasoline night somebody different think halloween fuck feel work hard kill exist audio problems real hell trap wish death creep like splinter cell get high blow mind away word tryna think later world go better paper life fast baby slow open mind start forget know shit leave hurt good girl love hurt good hurt good hurt good,197
18032,jeff williams,red like roses,2013,pop,like roses fill dream bring place rest white cold yearn burden test black beast descend shadow yellow beauty burn gold,20
18034,kid ink,money and the power,2013,pop,money power want cause money power want cause go hard long drop morning poppin wanna roll roll away dream dreamin bout gold tell wanna shine gotta scene walk right door nigga repeat double flow vibrate build ring phone wait smoke clear fall goin hard tictac tacky motherfuckers life bitch bitch go hard long yeah drop morning go hard long go hard long mamoney power little wanna cause ready ready tell bring level high phone foes cause dough fold forget plan leavin close close barely grind team everybody look like parade come hand feet grind stop party fund pray loud burnin rubber need slow go hard long yeah drop morning go hard long go hard long mamoney power little wanna cause monmoney power little wanna monmoney power little wanna fuckin know go bottle hand pocket dough go hard long yeah drop morning go hard long go hard long,147
18035,sam smith,safe with me,2013,pop,need tell cause build build feel cause know baby care past need answer know secret safe heart beat worry sleep heart beat know secret safe heart beat worry sleep heart beat need step scar know cloud turn black cause know baby care past need answer know secret safe heart beat worry sleep heart beat know secret safe heart beat worry sleep heart beat,63
18036,diplo,revolution,2013,pop,worst monsters head scar fall people listen late change luck steal light eheh eheh eheh break stride eheh eheh eheh light raindrops fall revolution tonight revolution reva reva worst monsters head scar fall people listen late change luck steal light eheh eheh eheh break stride eheh eheh eheh light raindrops fall revolution tonight revolution reva reva,56
18044,kacey musgraves,blowin' smoke,2013,pop,lunch dinner rush catch outbound vegas talk trash make bet lips wrap round cigarettes think good waitress quit someday ship come sail away blowin smoke yeah blowin smoke yeah goin break yeah blowin smoke divorce exhusband longer trade smoke cake hadn lose baby weight baby bout graduate college flick tell okay blowin smoke yeah blowin smoke yeah yeah goin break yeah yeah blowin smoke quit someday nerve shoot hand shake quit someday nerve shoot hand shake wipe trash light count cash swear come blowin smoke yeah blowin smoke yeah goin break yeah yeah blowin smoke,95
18045,tegan and sara,everything is awesome!!! (feat. the lonely island),2013,pop,bleed edge bone creature borderlands rocs live cyberpunk sleep steady blouses refuse chippin elite wireless controller series battle tap feel forza horizon lego speed champion tegan awesome feat lonely island gear bind blood eilish bury friend gear escape trick daddy idxbox unreleased unknown legend alessio corti piece orgue fantasia aruj malkin showdown outer worlds elia rattle cage original score minutes empires definitive edition battletoads witch crossfire deadstatic drive dragon ball kakarot die light ring gear halo infinite lego war skywalker saga microsoft flight simulator minecraft dungeons wisps phantasy online psychonauts spiritfarer war jedi fall order state decay heartland wasteland woods,100
